Código producto,Nombre producto,MARCA DETALLADA,MARCA RESUMIDA,LINEA NEGOCIO
G1D-SA-L,VIG TENS 190-230V ANLG TRIFAS-KLEMSAN,OTROS,SECUNDARIA,OTROS
GR1119-150W-SF,LAMPARA ALUM. PUBLICO LED 150W AC85-265V 50-60Hz IP65 FELGOLUX,FELGOLUX,SECUNDARIA,OTROS
GR-TG008-50W/C,REFLECTOR LED SLIM 50W 3500K CEB,CEB,SECUNDARIA,ILUMINACION
IBL06,BOMBILLO LED 9W 6500K E27 MERCURY,MERCURY,SECUNDARIA,ILUMINACION
IBL87,BOMBILLO LED 7W E27 3000K A60 MERCURY,MERCURY,SECUNDARIA,ILUMINACION
ICL13,ADAPTADOR P-CINTA LED 12V 5A MERCURY,MERCURY,SECUNDARIA,ILUMINACION
INTR32A-660,CONMUTADOR DE 1-0-2 DE 3X32A VOLTIO,OTROS,SECUNDARIA,OTROS
IPL05,"PANEL LED 12W 6"" 6500K RED. INC. MERCURY",MERCURY,SECUNDARIA,ILUMINACION
IPL06,"PANEL LED 18W 8"" 6500K RED. INC. MERCURY",MERCURY,SECUNDARIA,ILUMINACION
IPL07,"PANEL LED 24W 10"" 6500K RED. INC. MERCURY",MERCURY,SECUNDARIA,ILUMINACION
IPL119,PANEL LED T. PASTEL 24W S/P 6500K MERCURY,MERCURY,SECUNDARIA,ILUMINACION
IPL18,"PANEL LED CUAD. INC. 12W 6"" 6500K MERCURY",MERCURY,SECUNDARIA,ILUMINACION
IPL19,"PANEL LED 18W 8"" CUAD. INC. 6500K MERCURY",MERCURY,SECUNDARIA,ILUMINACION
IPL20,"PANEL LED 24W 10"" CUAD. INC. 6500K MERCURY",MERCURY,SECUNDARIA,ILUMINACION
IPL22,"PANEL LED S/P RED. 12W 6"" 6500K  MERCURY",MERCURY,SECUNDARIA,ILUMINACION
IPL23,"PANEL LED 18W 8"" 6500K RED. S/P MERCURY",MERCURY,SECUNDARIA,ILUMINACION
IPL24,"PANEL LED 24W 10"" 6500K RED. S/P MERCURY",MERCURY,SECUNDARIA,ILUMINACION
IPL26,"PANEL LED S/P CUAD. 12W 6"" 6500K MERCURY",MERCURY,SECUNDARIA,ILUMINACION
IPL32,PANEL LED BACKLIGHT 60X60 48W 6500K HIGH LUMEN MERCURY,MERCURY,SECUNDARIA,ILUMINACION
IPL33,PANEL LED BACKLIGHT 1.20X 30CM 50W 6500K HIGH LUMEN MERCURY,MERCURY,SECUNDARIA,ILUMINACION
IPL43,"PANEL LED 18W 8"" 3000K RED. S/P MERCURY",MERCURY,SECUNDARIA,ILUMINACION
IPL61,BALA LED 3W 3000K BLANCA MERCURY,MERCURY,SECUNDARIA,ILUMINACION
ITL33,LAMPARA LED ALTA POTENCIA 60W 120CM POLICARBONATO MERCURY,MERCURY,SECUNDARIA,ILUMINACION
ITL46,LUMINARIA LINEAL 40W LED BLANCA 4100K MERCURY,MERCURY,SECUNDARIA,ILUMINACION
KL-1071,TOMA T. LEVITON BLANCA KARLUZ,KARLUZ,SECUNDARIA,ILUMINACION
KL-1227,CINTA ALISLANTE NEGRA 15 MTS GRANDE UL FMX VL,KARLUZ,SECUNDARIA,ILUMINACION
kl-2707,CONTADOR MONOFASICO KARLUZ,KARLUZ,SECUNDARIA,ILUMINACION
KL-2838,REFLECTOR LED SOLAR 300W CON CONTROL KARLUZ,KARLUZ,SECUNDARIA,ILUMINACION
L10-10-CON,CONECTOR DENTADO ANTIFRAUDE MONOFASICO,OTROS,SECUNDARIA,OTROS
LB1RY,CONDULETA 1/2 ROSCADA ALUMINIO,OTROS,SECUNDARIA,OTROS
LC2E,CONDULETA LB 3/4 EMT LISA EN,OTROS,SECUNDARIA,OTROS
LB3EMT,"CONDULETA LB 1"" EMT LISA EN",OTROS,SECUNDARIA,OTROS
LM5121,INTERRUPTOR SENCILLO NEGRO LINEA STAR BLACK CEB,CEB,SECUNDARIA,ILUMINACION
LM5211,INTERRUPTOR DOBLE NEGRO LINEA STAR BLACK CEB,CEB,SECUNDARIA,ILUMINACION
NORM-A10-DES,ALAMBRE TW 10AWG DESNUDO NORMA X MT,OTROS,SECUNDARIA,CABLEADO
NORM-A12-DES,ALAMBRE TW 12AWG DESNUDO NORMA X MT,OTROS,SECUNDARIA,CABLEADO
NORM-A12-DES-R,ALAMBRE TW 12AWG DESNUDO NORMA ROLLO X 100M,OTROS,SECUNDARIA,CABLEADO
NORM-A14-DES,ALAMBRE TW 14AWG DESNUDO NORMA X MT,OTROS,SECUNDARIA,CABLEADO
NORM-A14-DES-R,ALAMBRE TW 14AWG DESNUDO NORMA ROLLO X 100M,OTROS,SECUNDARIA,CABLEADO
NTS20,INTERRUPTOR SENCILLO LINEA VALENTINA CEB,CEB,SECUNDARIA,ILUMINACION
NTST15,TOMA COAXIAL NEGRO LINEA STAR BLACK CEB,OTROS,SECUNDARIA,OTROS
NTST15T,TOMA CORRIENTE DOBLE LINEA STAR BLACK CEB,CEB,SECUNDARIA,ILUMINACION
NTST15TC,TOMA CORRIENTE DOBLE LINEA VALENTINA CEB,CEB,SECUNDARIA,ILUMINACION
NTSTA20,INTERRUPTOR DOBLE LINEA VALENTINA CEB,CEB,SECUNDARIA,ILUMINACION
NX10011754,C. 12AWG CU BLANCO THHN-2 600V ROLLO X 100 CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10011755,C. 14AWG CU BLANCO THHN-2 600V ROLLO X 100 CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10011764,C. 12AWG CU AZUL THHN-2 600V ROLLO X 100 CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10011765,C. 12AWG CU ROJO THHN-2 600V ROLLO X 100 CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10011771,C. 14AWG CU NEGRO THHN/THWG-2 600V ROLLO X 100 CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10011773,C. 14AWG CU ROJO THHN/THWN-2 60V ROLLO X 100 CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10011774,C. 14AWG CU AMARILLO THHN/THWN-2 ROLLO X 100 CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10012289-1,3*8+10AWG ACOM.TREBOL CU PE/PVC 600V 75 GRADOS,OTROS,SECUNDARIA,OTROS
NX10024727,C. 12AWG CU BLANCO THHN-2 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10024728,C. 12AWG CU AZUL THHN/THWN-2 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10024729,C. 12AWG CU ROJO THHN-2 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10024730,C. 12AWG CU AMARILLO THHN-2 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10024731,C. 12AWG CU VERDE THHN-2 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10024751,C. 8AWG CU NEGRO THHN-2 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10024752,C. 8AWG CU BLANCO THHN-2 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10024753,C. 8AWG CU AZUL THHN-2 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10024754,C. 8AWG CU ROJO THHN-2 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10024756,C. 8AWG CU AMARILLO THHN-2 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10024757,C. 8AWG CU VERDE THHN-2 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10033935,C. TRENZADO 3X12AWG CU RO/BL/VD THHN-2 X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10034414,C. 14AWG NEGRO FREETOX 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10034796,3X16AWG ENCAUCHETADO PVC-NY/PVC X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10034801,3X14AWG ENCAUCHETADO PVC-NY/PVC X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10035399,2X14AWG ENCAUCHETADO PVC-NY/PVC X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10035932,2X16AWG ENCAUCHETADO PVC-NY/PVC X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10036051,C. 12AWG AMARILLO FREETOX 600V ROLLO X 100 CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10036052,C. 12AWG AZUL FREETOX 600V ROLLO X 100 CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10036053,C. 12AWG ROJO FREETOX 600V ROLLO X 100 CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10036054,C. 12AWG BLANCO FREETOX 600V ROLLO X 100 CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10036058,C. 14AWG VERDE FREETOX 600V ROLLO X 100 CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10036447,C. 12AWG VERDE FREETOX 600V ROLLO X 100 CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10038671,C. 10AWG AMARILLO FREETOX 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10038689,C. 8AWG ROJO FREETOX 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10038693,C. 8AWG VERDE FREETOX 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10038702,C. 12AWG AZUL FREETOX 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10038703,C. 12AWG ROJO FREETOX 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10038705,C. 12AWG BLANCO FREETOX 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10038713,C. 10AWG ROJO FREETOX 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10038714,C. 10AWG VERDE FREETOX 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10047271,C. 14AWG BLANCO FREETOX LSHF 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10047972,C. 3X12AWG RO/VER/BL FREETOX TPLEX X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX100479740,1X8+8AWG ACOMETIDA CU XLPE/PV 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10051997,3X12AWG ENCAUCHETADO PVC-NY/PVC X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10052036,2X12AWG ENCAUCHETADO PVC-NY/PVC X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
P23345-39,LAMPARA LED EMERG 6500K R3 2X1W ST SYLVANIA,SYLVANIA,PRIMARIA,ILUMINACION
P23713-36,LAMPARA LED HIGH BAY 6000K 100W DL GC015 SYLVANIA,SYLVANIA,PRIMARIA,ILUMINACION
P23718-36,LAMPARA LED HIGH BAY 6000K 150W DL GC015 SYLVANIA,SYLVANIA,PRIMARIA,ILUMINACION
P24338-19,PANEL LED RD 6500K 18W DL 100-240V SYLVANIA,SYLVANIA,PRIMARIA,ILUMINACION
P24994-3,TUBO LED 6500K 9W T8 DL 100-240 VID  SYLVANIA,SYLVANIA,PRIMARIA,ILUMINACION
P26774-33,LAMPARA LED LINEAL ECO 6000K 32W DL MV SYLVANIA,SYLVANIA,PRIMARIA,ILUMINACION
P27179-36,PANEL LED RD 6500K  12W DL MV SP SYLVANIA,SYLVANIA,PRIMARIA,ILUMINACION
P27180-36,PANEL LED RD 6500K 18W DL MV SP SYLVANIA,SYLVANIA,PRIMARIA,ILUMINACION
P27181-36,PANEL LED RD 6500K 24W DL MV SP SYLVANIA,SYLVANIA,PRIMARIA,ILUMINACION
P27608-3,TUBO LED 6500K 25W T5 DL 100-277V  SYLVANIA,SYLVANIA,PRIMARIA,ILUMINACION
P27667-19,BOMBILLA REFLED ES50 3000K 6W WW GU10 MV CJ  SYLVANIA,SYLVANIA,PRIMARIA,ILUMINACION
P27669-19,BOMBILLA REFLED ES50 3000K 7W WW GU10DIM 120V  SYLVANIA,SYLVANIA,PRIMARIA,ILUMINACION
P27900-3,TUBO LED 6500K 18W T8 DL 100-240 VID  SYLVANIA,SYLVANIA,PRIMARIA,ILUMINACION
P28639-36,REFLECTOR LED JETA 6500K 50W DL SYLVANIA,SYLVANIA,PRIMARIA,ILUMINACION
P29362-1,BOMBILLA TOLEDO 6500K 9W DL 6H 120V ST CJ SYLVANIA,SYLVANIA,PRIMARIA,ILUMINACION
PER/GAL1,PERCHA PESADA 1 PUESTO GALV. GE,OTROS,SECUNDARIA,OTROS
PEST-1/2,PRENSA ESTOPA 1/2,OTROS,SECUNDARIA,OTROS
PTO1020021,TROQUEL 10CM SENCILLO LEVITON C22 BCO MENTA GF,OTROS,SECUNDARIA,OTROS
PTO1024011,TROQUEL 10CM TRIPLE 2LEV 1DAT C22 BCO MENTA GF,OTROS,SECUNDARIA,OTROS
SDJS50,BREAKER INDUSTRIAL 50A STECK,OTROS,SECUNDARIA,OTROS
SDZD63C50,BREAKER RIEL 3X50A 6KA STECK,OTROS,SECUNDARIA,OTROS
SDZD63C63,BREAKER RIEL 3X63A 6KVA STECK,OTROS,SECUNDARIA,OTROS
SSU-200-LG,SOPORTE SUSPENSION UNIVERSAL 0.20 M LG,OTROS,SECUNDARIA,OTROS
SV001,CURVA PVC 1/2 PLEXIN,OTROS,SECUNDARIA,OTROS
SV007,CURVA PVC 3/4 PLEXIN,OTROS,SECUNDARIA,OTROS
SV016,CURVA SCH40 3/4 LARGA PLEXIN,OTROS,SECUNDARIA,OTROS
SV017,"CURVA SCH40 1"" LARGA PLEXIN",OTROS,SECUNDARIA,OTROS
SV033,"CURVA PVC 1"" 1/4 PLEXIN",OTROS,SECUNDARIA,OTROS
T012090,CAJA METALICA DOBLE FONDO 10X10 EM,OTROS,SECUNDARIA,OTROS
T032420,SUPLEMENTO METALICO 2400 GALV EM,OTROS,SECUNDARIA,OTROS
T060101,CAJA 5800 2X4 PP BLANCA RETIE JG,OTROS,SECUNDARIA,OTROS
T060102,CAJA 2400 4X4 PP RETIE JG,OTROS,SECUNDARIA,OTROS
T060103,CAJA OCTAGONAL PP RETIE JG,OTROS,SECUNDARIA,OTROS
T060107,TAPA CIEGA 2400 4X4 PP BLANCA JG,OTROS,SECUNDARIA,OTROS
T060111,TAPA CIEGA OCTAGONAL PP BLANCA JG,OTROS,SECUNDARIA,OTROS
T060112PP,TAPA CIEGA  5800 2X4 PP BLANCA JG,OTROS,SECUNDARIA,OTROS
T070303PCB,TAPA LEVITON BLANCA JG,OTROS,SECUNDARIA,OTROS
T250BL,TERMINAL ESTAÑADA PONCHAR  250,OTROS,SECUNDARIA,OTROS
TAINS30,TAPA Y MARCO PARA CAJA DE INSPECCION DE POLO A TIERRA 30X30,OTROS,SECUNDARIA,OTROS
TAP-LEV-INT-PVC,TAPA INTEMPERIE LEVITON PLASTICA,OTROS,SECUNDARIA,OTROS
TE2MG,TABLERO 02 CTOS 1F 75 AMP GAL TERCOL,TERCOL,SECUNDARIA,OTROS
TE4M-BIMETALICO,TABLERO 04 CTOS 1F 75 AMP BIM TERCOL,TERCOL,SECUNDARIA,OTROS
TE4MG,TABLERO 04 CTOS 1F 75 AMP GAL TERCOL,TERCOL,SECUNDARIA,OTROS
TE6M,TABLERO 06 CTOS 1F 75 AMP TERCOL,TERCOL,SECUNDARIA,OTROS
TE6MG-BIMETALICO,TABLERO 06 CTOS 1F 75 AMP GAL BIM TERCOL,TERCOL,SECUNDARIA,OTROS
TP306G-100BIMETALICO,TABLERO 06 CTOS 3F 100 AMP GAL BIM TERCOL,TERCOL,SECUNDARIA,OTROS
TP312G-100BIMETALICO,TABLERO 12 CTOS 3F 100 AMP GAL BIM TERCOL,TERCOL,SECUNDARIA,OTROS
TPL2X4,TAPA PLASTICA LISA 2X4 TERCOL,TERCOL,SECUNDARIA,OTROS
TRP318TG-BM,TABLERO 18 CTOS 3F 175 AMP TOTALIZADOR GAL BIM TERCOL,TERCOL,SECUNDARIA,OTROS
VC1/2-150EM,VARILLA COBRE 1/2X 150 EM,EM,SECUNDARIA,OTROS
VCU1/2-150,VARILLA COBRE 1/2 X 150 TERCOL,TERCOL,SECUNDARIA,OTROS
020110038,CABLE ALUMINIO 6 AWG S.8000 (15mm) FACELEC,FACELEC,SECUNDARIA,CABLEADO
10103C,BOMBILLO LED 5W 3000K WELLMAX,WELLMAX,SECUNDARIA,ILUMINACION
10109,BOMBILLO LED 50W 6500K WELLMAX,WELLMAX,SECUNDARIA,ILUMINACION
20101C,PANEL LED REDONDO INC 6W 4100K CEB,CEB,SECUNDARIA,ILUMINACION
20102B,PANEL LED REDONDO INC 9W 6500K CEB,CEB,SECUNDARIA,ILUMINACION
20102C,PANEL LED REDONDO INC 9W 4100K CEB,CEB,SECUNDARIA,ILUMINACION
20103C,PANEL LED REDONDO INC 12W 4100K CEB,CEB,SECUNDARIA,ILUMINACION
20105B,PANEL LED REDONDO INC 24W 6500K CEB,CEB,SECUNDARIA,ILUMINACION
20105C,PANEL LED REDONDO INC 24W 4100K CEB,CEB,SECUNDARIA,ILUMINACION
20112B,PANEL LED REDONDO SP 12W 6500K CEB,CEB,SECUNDARIA,ILUMINACION
20112C,PANEL LED REDONDO SP 12W 4100K CEB,CEB,SECUNDARIA,ILUMINACION
20113C,PANEL LED REDONDO SP 18W 4100K CEB,CEB,SECUNDARIA,ILUMINACION
20116,PANEL LED CUADRADO SP 12W 6500K CEB,CEB,SECUNDARIA,ILUMINACION
20117,PANEL LED CUADRADO SP 18W 6500K CEB,CEB,SECUNDARIA,ILUMINACION
20118,PANEL LED CUADRADO SP 24W 6500K CEB,CEB,SECUNDARIA,ILUMINACION
20145,DRIVER LED 18W CEB,CEB,SECUNDARIA,ILUMINACION
20147,DRIVER LED 52W CEB,CEB,SECUNDARIA,ILUMINACION
20149,MARCO ALUMINIO SOBREPONER 30X120 CEB,CEB,SECUNDARIA,ILUMINACION
3005542,CABLE 8AWG BLANCO ZEROH 600V  CONDUMEX X MT,OTROS,SECUNDARIA,CABLEADO
3007392-1,C. TRENZADO 3*12AWG CU AZ/BL/VE 1000 THHN-2 CONDUMEX X MT,CONDUMEX,SECUNDARIA,CABLEADO
30106,LINEA PLATINO PULSADOR TIMBRE CEB,CEB,SECUNDARIA,ILUMINACION
30110,LINEA PLATINO TOMA COAXIAL CEB,CEB,SECUNDARIA,ILUMINACION
40104B,LAMPARA TORTUGA NEGRA 6500K 10W CEB,CEB,SECUNDARIA,ILUMINACION
40104C,LAMPARA TORTUGA NEGRA 3000K 10W CEB,CEB,SECUNDARIA,ILUMINACION
45052-EM,AMARRE PLASTICO 30CM BLANCO EM,EM,SECUNDARIA,OTROS
46DSA3100,TACO DSA SOBREPONER 3X100 AMP LX,OTROS,SECUNDARIA,OTROS
50108,ALUMBRADO PUBLICO SOLAR 150W CEB,CEB,SECUNDARIA,ILUMINACION
60109R,SPOT LED DIRIGIBLES CENTAURUS GU10 BLANCO RIEL CEB,CEB,SECUNDARIA,ILUMINACION
60129,SENSOR PARED 180 CEB,CEB,SECUNDARIA,ILUMINACION
60135NB,SPOT  LED DIRIGIBLES ROMA NEGRO 20W LUZ BLANCA CEB,CEB,SECUNDARIA,ILUMINACION
687635,TOMA CORRIENTE 2P+T GFCI CLICME,OTROS,SECUNDARIA,OTROS
700086P-EM,AMARRE PLASTICO 15CM BLANCO EM,OTROS,SECUNDARIA,OTROS
70100S,TUBO METALICO (EMT) LINEAL 1/2,MAXWELL,PRIMARIA,TUBERIA
70102S,"TUBO METALICO (EMT) LINEAL 1""",MAXWELL,PRIMARIA,TUBERIA
70136,"UNION GALVANIZADA  (IMC) 1"" MAXWELL",MAXWELL,PRIMARIA,TUBERIA
70154,"UNION METALICA (EMT) 1"" 1/4 ACERO MAXWELL",MAXWELL,PRIMARIA,TUBERIA
70159,CONECTOR RECTO 1/2 ACERO,OTROS,SECUNDARIA,OTROS
70162,"CONECTOR RECTO 1"" 1/4 ACERO MAXWELL",MAXWELL,PRIMARIA,TUBERIA
70177,"CAPACETE GALVANIZADO (IMC) 1"" MAXWELL",MAXWELL,PRIMARIA,TUBERIA
70196,CAJA DE INTEMPERIE 2400 5 SALIDAS 3/4 MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70198,CAJA DE INTERPERIE OCTAGONAL 1/2 MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70223,TAPA CIEGA INTEMPERIE OCTAGONAL MAXWELL,MAXWELL,PRIMARIA,TUBERIA
70233,"JUEGO DE BOQUILLA IMC 4"" MAXWELL",MAXWELL,PRIMARIA,TUBERIA
77CT1518A,CINTA AISLANTE AZUL 3M,OTROS,SECUNDARIA,OTROS
77CT1518R,CINTA AISLANTE ROJA 3M,OTROS,SECUNDARIA,OTROS
77CT1518Y,CINTA AISLANTE AMARILLA 3M,OTROS,SECUNDARIA,OTROS
80007099,A. 12AWG CU AMARILLO THHN-2 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
80007101,A. 12AWG CU VERDE THHN-2 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
80007106,A. 12AWG CU ROJO THHN-2 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
80007162,A. 14AWG CU ROJO THHN-2 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
80007164,A. 14AWG CU BLANCO THHN-2 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
80007169,A. 14AWG CU NEGRO THHN-2 600V ROLLO X 100 CENTELSA,CENTELSA,PRIMARIA,CABLEADO
80007280,C. 2AWG CU NEGRO THWN-2 600V X MT CENTELSA,CENTELSA,PRIMARIA,CABLEADO
807020,CAJA 2400 PVC RETIE EJG,OTROS,SECUNDARIA,OTROS
90115R,JACK CAT 6 ROJO ANCLA,ANCLA,SECUNDARIA,CABLEADO
BLSL-01-100W-CF,LUMINARIA ALUMBRADO PUBLICO CON FOTOCELDA 100W 85-265V 7000K FELGOLUX,FELGOLUX,SECUNDARIA,ILUMINACION
BLSL-01-50W-CF,LUMINARIA ALUMBRADO PUBLICO CON FOTOCELDA 50W 85V-265V 7000K FELGOLUX,FELGOLUX,SECUNDARIA,ILUMINACION
BR-1.50-1.1/2,BRAZO PARA LUMINARIA DE 1.50CM X 1 1/2 CON COLLARIN,OTROS,SECUNDARIA,ILUMINACION
C-002,CLAVIJA EN CAUCHO PATA PLANA TIPO INDUSTRIAL 15A CODELCA,CODELCA,SECUNDARIA,OTROS
C-007,CLAVIJA TRIFILAR PARA 50A 250V FC CAUCHO CODELCA,OTROS,SECUNDARIA,OTROS
C-014,TOMA DE INCRUSTAR TRIFILAR 20A 250V CODELCA,CODELCA,SECUNDARIA,OTROS
C-015,TOMA DE INCRUSTAR TRIFILAR 50A 250V CODELCA,CODELCA,SECUNDARIA,OTROS
C-019,TOMA AEREA EN CAUCHO TIPO DOMESTICO 15A CODELCA,CODELCA,SECUNDARIA,OTROS
C-024,CLAVIJA SEGURIDAD CON POLO A TIERRA 20A 250V FC CAUCHO CODELCA,CODELCA,SECUNDARIA,OTROS
C-028,TOMA AEREA  CAUCHO CON POLO A TIERRA 15A  250V CODELCA,CODELCA,SECUNDARIA,OTROS
C-031,TOMA INCRUSTABLE SEGURIDAD POLO A TIERRA 20A 250V CODELCA,CODELCA,SECUNDARIA,OTROS
C7H10BL,CABLE 7 HILOS BLANCO No 10  CENTELSA X MT,CENTELSA,PRIMARIA,CABLEADO
CAINS30,CAJA DE INSPECCION DE POLO A TIERRA PREFABRICADA DE 30X30X40 CON TAPA,OTROS,SECUNDARIA,OTROS
CE20-20-10B,CAJA EMPALME 20*20*10 BLANCA TERCOL,TERCOL,SECUNDARIA,OTROS
CJ-20X20-PVC-EM,CAJA DE PASO 20X20 PVC EM,EM,SECUNDARIA,OTROS
CLA63/034-6,CLAVIJA INDUSTRIAL 63AMP 3P+T 6H 440 VAC ROJA IP67 VCP,OTROS,SECUNDARIA,OTROS
CS-0612C,MT CABLE DUPLEX 2X12 CARRETE CENTELSA,CENTELSA,PRIMARIA,CABLEADO
CS-0614C,MT CABLE DUPLEX 2X14 CARRETE PROCABLES,PROCABLES,PRIMARIA,CABLEADO
CS-0616C,MT CABLE DUPLEX 2X16 CARRETE  PROCABLES,PROCABLES,PRIMARIA,CABLEADO
D20-EM,AMARRE PLASTICO 40CM NEGRO EM,OTROS,SECUNDARIA,OTROS
DSE-1015,TACO ENCHUFABLE 1X15A LUMINEX,LUMINEX,SECUNDARIA,OTROS
DSE-2030,TACO ENCHUFABLE 2X30A LUMINEX,LUMINEX,SECUNDARIA,OTROS
DSE-2060,TACO ENCHUFABLE 2X60A LUMINEX,LUMINEX,SECUNDARIA,OTROS
DSE-3020,TACO ENCHUFABLE 3X20A LUMINEX,LUMINEX,SECUNDARIA,OTROS
ECA36,MUTITOMA 6SL 5MT CABLE CON PROTECCION T. AMERICANA MERCURY,MERCURY,SECUNDARIA,ILUMINACION
EP-63,CONMUTADOR TRIPOLAR ABIERTO PARA TABLERO 63 AMP 1-0-2,OTROS,SECUNDARIA,OTROS
ETI36,INT. TRIPLE CONM. PREMIUM WHITE MERCURY,MERCURY,SECUNDARIA,ILUMINACION
EVE01,"EXTRACTOR DE BAÑO 4"" BLANCO MERCURY",MERCURY,SECUNDARIA,ILUMINACION
EZC100N3060,BREAKER TRIPOLAR 60 AMP EZC100N3060 SCHNEIDER,OTROS,SECUNDARIA,OTROS
FL01-400W-W,REFLECTOR LED SOLAR 400W 7000+-500K IP65 3.2V 25AH FELGOLUX ,FELGOLUX,SECUNDARIA,OTROS
GR1119-150W-CF,LAMPARA ALUM. PUBLICO LED 150W AC85-265V  IP65 CON FOTOCELDA FELGOLUX,FELGOLUX,SECUNDARIA,OTROS
IBL09,BOMBILLO LED 20W E27 6500K MERCURY,MERCURY,SECUNDARIA,ILUMINACION
IBL11,BOMBILLO LED 40W E27 6500K MERCURY,MERCURY,SECUNDARIA,ILUMINACION
IBL12,BOMBILLO LED 50W E27 6500K MERCURY,MERCURY,SECUNDARIA,ILUMINACION
IBL43,BOMBILLO LED TORPEDO 9W E27 6500K MERCURY,MERCURY,SECUNDARIA,ILUMINACION
IDL81,TORTUGA LED LISA BLANCA 18W 3000K MERCURY,MERCURY,SECUNDARIA,ILUMINACION
IDL83,TORTUGA LED LISA BLANCA 12W 3000K MERCURY,MERCURY,SECUNDARIA,ILUMINACION
IPL116,PANEL LED FRAMELESS 18W INC. 3000K MERCURY,MERCURY,SECUNDARIA,ILUMINACION
IPL118,PANEL LED FRAMELESS 18W SOBREPONER 6500K,OTROS,SECUNDARIA,ILUMINACION
IPL27,"PANEL LED S/P CUAD. 18W 8"" 6500K MERCURY",MERCURY,SECUNDARIA,ILUMINACION
ITL07,LAMPARA ANTIPOLVO 2X18W 120CM MERCURY,MERCURY,SECUNDARIA,ILUMINACION
KL-2493,FOTOCELDA MINI AC110-220V  6A KARLUZ,OTROS,SECUNDARIA,OTROS
MWD130237543,INTERRUPTOR CONMUTABLE TRIPLE BLANCO GENESIS SCHNEIDER,OTROS,SECUNDARIA,OTROS
NTSA15,INTERRUPTOR TRIPLE LINEA VALENTINA CEB,CEB,SECUNDARIA,ILUMINACION
NX10011753,C. 10AWG CU BLANCO THHN-2 600V ROLLO X 100 CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10011758,C. 10AWG CU ROJO THHN-2 600V ROLLO X 100 CENTELSA,CENTELSA,PRIMARIA,CABLEADO
NX10011763,C. 12AWG CU NEGRO THHN-2 600V ROLLO X 100 CENTELSA,CENTELSA,PRIMARIA,CABLEADO
